parameter,path_0,path_1,path_2,path_3,path_4,mu.vect,50%,2.5%,97.5%
QST,PHEN,intra_us,T18,Diameter GR,bilan.txt,0.172,0.155,0.067,0.37200000000000005
QST,PHEN,intra_us,T18,Foliar weight GR,bilan.txt,0.168,0.075,0.0,0.973
QST,PHEN,intra_us,T18,Germination rate,bilan.txt,0.03,0.02,0.0,0.114
QST,PHEN,intra_us,T18,Height GR 1,bilan.txt,0.026000000000000002,0.019,0.004,0.092
QST,PHEN,intra_us,T18,Height GR 2,bilan.txt,0.18899999999999997,0.159,0.036000000000000004,0.507
QST,PHEN,intra_us,T18,N of Leaves,bilan.txt,0.02,0.005,0.0,0.12
QST,PHEN,intra_us,T18,PSII yield,bilan.txt,0.027000000000000003,0.019,0.004,0.095
QST,PHEN,intra_us,T18,Stage 1,bilan.txt,0.111,0.054000000000000006,0.0,0.828
QST,PHEN,intra_us,T18,Stage 2,bilan.txt,0.34,0.239,0.049,0.998
QST,PHEN,intra_us,T18,Stage 3,bilan.txt,0.573,0.519,0.111,0.9990000000000001
QST,PHEN,intra_us,T18,Stage 4,bilan.txt,0.17300000000000001,0.027000000000000003,0.0,0.9420000000000001
QST,PHEN,intra_us,T18,Stem weight GR,bilan.txt,0.109,0.021,0.0,0.836
QST,PHEN,intra_us,T18,Total weight GR,bilan.txt,0.177,0.059000000000000004,0.0,0.99
QST,PHEN,intra_us,T22,Diameter GR,bilan.txt,0.170,0.151,0.057999999999999996,0.385
QST,PHEN,intra_us,T22,Foliar weight GR,bilan.txt,0.429,0.295,0.0,0.997
QST,PHEN,intra_us,T22,Germination rate,bilan.txt,0.08900000000000001,0.071,0.011000000000000001,0.27
QST,PHEN,intra_us,T22,Height GR 1,bilan.txt,0.21,0.16699999999999998,0.025,0.608
QST,PHEN,intra_us,T22,Height GR 2,bilan.txt,0.25,0.21100000000000002,0.049,0.675
QST,PHEN,intra_us,T22,N of Leaves,bilan.txt,0.015,0.002,0.0,0.09300000000000001
QST,PHEN,intra_us,T22,PSII yield,bilan.txt,0.182,0.14800000000000002,0.031,0.501
QST,PHEN,intra_us,T22,Stage 1,bilan.txt,0.48,0.369,0.017,0.998
QST,PHEN,intra_us,T22,Stage 2,bilan.txt,0.047,0.033,0.0,0.183
QST,PHEN,intra_us,T22,Stage 3,bilan.txt,0.037000000000000005,0.025,0.0,0.153
QST,PHEN,intra_us,T22,Stage 4,bilan.txt,0.061,0.038,0.0,0.25
QST,PHEN,intra_us,T22,Stem weight GR,bilan.txt,0.527,0.569,0.002,0.9940000000000001
QST,PHEN,intra_us,T22,Total weight GR,bilan.txt,0.485,0.456,0.0,0.998
QST,PHEN,intra_us,T31,Diameter GR,bilan.txt,0.142,0.125,0.05,0.33
QST,PHEN,intra_us,T31,Foliar weight GR,bilan.txt,0.462,0.39,0.0,0.998
QST,PHEN,intra_us,T31,Germination rate,bilan.txt,0.129,0.102,0.021,0.39899999999999997
QST,PHEN,intra_us,T31,Height GR 1,bilan.txt,0.028999999999999998,0.015,0.002,0.145
QST,PHEN,intra_us,T31,Height GR 2,bilan.txt,0.146,0.085,0.006999999999999999,0.618
QST,PHEN,intra_us,T31,N of Leaves,bilan.txt,0.14,0.008,0.0,0.9590000000000001
QST,PHEN,intra_us,T31,PSII yield,bilan.txt,0.032,0.024,0.006,0.10400000000000001
QST,PHEN,intra_us,T31,Stage 1,bilan.txt,0.094,0.04,0.0,0.764
QST,PHEN,intra_us,T31,Stage 2,bilan.txt,0.237,0.09,0.0,0.988
QST,PHEN,intra_us,T31,Stage 3,bilan.txt,0.027000000000000003,0.011000000000000001,0.0,0.14
QST,PHEN,intra_us,T31,Stage 4,bilan.txt,0.03,0.005,0.0,0.195
QST,PHEN,intra_us,T31,Stem weight GR,bilan.txt,0.214,0.042,0.0,0.97
QST,PHEN,intra_us,T31,Total weight GR,bilan.txt,0.414,0.261,0.0,0.9990000000000001
